Surp(One) Surp(A_few) Surp(Some) Surp(Most) Surp(All)
BEGIN INCREMENTAL MODELS
ModelName: /content/drive/MyDrive/Zarpies/models/incremental/gpt2_adapted_zarpiesT1
42.43190002441406 42.1539192199707 38.53551483154297 39.477203369140625 41.384605407714844
37.68370819091797 46.031986236572266 43.70709991455078 43.659400939941406 42.66088104248047
34.53911590576172 40.30774688720703 35.912071228027344 37.06017303466797 36.66838836669922
32.68098449707031 36.456905364990234 32.357391357421875 32.62191390991211 29.967121124267578
31.270917892456055 36.040306091308594 33.6767578125 34.30779266357422 34.3499641418457
36.52668380737305 39.6413688659668 35.939369201660156 36.141212463378906 35.04861831665039
36.415000915527344 40.28431701660156 36.406272888183594 37.14883804321289 36.8028678894043
34.05025100708008 46.494384765625 40.021568298339844 42.490230560302734 43.68890380859375
34.26826858520508 34.55598831176758 31.712495803833008 31.659290313720703 30.560487747192383
28.765445709228516 30.568950653076172 26.846670150756836 26.07349967956543 21.75372314453125
37.04023742675781 37.74320983886719 32.91846466064453 34.00394821166992 34.183372497558594
32.045143127441406 35.71599197387695 33.264862060546875 34.398433685302734 33.75308609008789
38.97161102294922 43.26266860961914 39.048439025878906 41.367183685302734 40.79593276977539
37.284156799316406 38.07512664794922 34.63108444213867 35.55527114868164 34.78187942504883
33.300514221191406 39.62558364868164 34.908538818359375 34.71965789794922 36.411067962646484
34.02457809448242 38.5373649597168 35.09496307373047 35.32038879394531 32.82643127441406
35.47174835205078 46.85890579223633 40.876068115234375 40.00959396362305 45.64871597290039
40.48051452636719 45.41797637939453 41.615360260009766 42.44011688232422 42.161949157714844
35.05153274536133 39.100528717041016 33.189510345458984 33.4152717590332 32.99443817138672
30.387189865112305 33.6281623840332 28.96994400024414 30.158418655395508 31.536521911621094
53.6557502746582 51.963722229003906 48.266658782958984 49.006553649902344 48.55241394042969
34.79934310913086 35.60850524902344 30.66493797302246 33.12384033203125 32.2774772644043
35.55301284790039 36.11797332763672 30.75889015197754 33.147762298583984 33.58097839355469
35.55855941772461 35.45879364013672 33.06620407104492 35.097110748291016 33.47093200683594
30.286705017089844 35.138362884521484 29.791126251220703 29.78419303894043 28.19869041442871
34.82341003417969 36.76891326904297 33.689964294433594 33.42589569091797 33.714141845703125
31.735944747924805 31.96240234375 29.135026931762695 30.094947814941406 28.477495193481445
33.92581558227539 41.734779357910156 37.746238708496094 36.492652893066406 35.06117248535156
33.86522674560547 41.470603942871094 36.78195571899414 36.642295837402344 35.081790924072266
39.2877082824707 38.98644256591797 34.12294006347656 35.0423583984375 34.77238082885742
29.82986068725586 35.293113708496094 30.398286819458008 31.98750114440918 32.40984344482422
39.16069030761719 42.13056182861328 37.051734924316406 37.036415100097656 36.84497833251953
33.09816360473633 38.061458587646484 34.55247497558594 34.598995208740234 34.948184967041016
37.92107391357422 41.638946533203125 37.10417938232422 37.52700424194336 36.27549743652344
34.1799201965332 38.99915313720703 34.17356872558594 34.81635665893555 34.03855895996094
40.40594482421875 42.682220458984375 38.7857666015625 39.785118103027344 39.459259033203125
36.759735107421875 44.06830596923828 39.50486755371094 39.53938674926758 40.43800354003906
32.81550979614258 37.48977279663086 32.63352966308594 33.181297302246094 34.81596374511719
32.18252182006836 35.33073425292969 31.923423767089844 32.489227294921875 30.038440704345703
37.13994216918945 44.37451934814453 40.64511489868164 41.448265075683594 38.74009704589844
38.65705871582031 42.99061584472656 38.94563293457031 39.42830276489258 39.97451400756836
35.91553497314453 39.22270965576172 35.420326232910156 37.55994415283203 35.47903823852539
43.099853515625 42.86201858520508 39.68852233886719 41.221160888671875 40.354766845703125
35.34107208251953 34.17851257324219 31.14055061340332 32.20177459716797 30.11007308959961
34.39752197265625 41.19398498535156 35.75862503051758 35.92152786254883 34.36434555053711
41.758872985839844 43.88396072387695 39.60284423828125 40.9249267578125 37.998199462890625
41.31320571899414 42.15641784667969 37.7384033203125 39.244773864746094 37.80413818359375
37.97871398925781 37.50867462158203 33.330078125 34.13534164428711 32.882728576660156
35.55088424682617 39.03863525390625 34.53729248046875 35.33928298950195 35.89634704589844
36.81221008300781 35.64162063598633 30.786624908447266 31.65643310546875 30.840885162353516
33.90667724609375 37.13389205932617 32.96556854248047 34.077789306640625 33.332801818847656
39.430084228515625 41.01903533935547 36.3395881652832 37.663902282714844 37.846397399902344
52.41127014160156 57.075843811035156 52.894771575927734 55.037315368652344 56.2538948059082
29.741252899169922 32.7548713684082 29.59888458251953 30.062091827392578 31.201528549194336
37.719154357910156 39.83361053466797 35.630279541015625 36.58332824707031 35.072547912597656
30.170310974121094 33.67542266845703 29.04187774658203 30.979373931884766 29.95034408569336
40.78929901123047 41.0582389831543 36.617156982421875 37.94758987426758 38.54902648925781
35.231842041015625 40.11821365356445 36.628448486328125 37.268821716308594 37.189109802246094
28.09042739868164 33.96568298339844 30.672637939453125 30.529861450195312 29.839126586914062
30.505413055419922 31.009336471557617 27.45541000366211 27.22100067138672 26.190317153930664
31.536863327026367 38.357666015625 34.531070709228516 34.491756439208984 34.12921142578125
35.632240295410156 39.823951721191406 35.567481994628906 36.557254791259766 36.75494384765625
39.224945068359375 45.126251220703125 40.17598342895508 40.720062255859375 41.07965850830078
35.762901306152344 40.485694885253906 36.85496139526367 36.8731689453125 37.741268157958984
33.962562561035156 39.869075775146484 33.3068962097168 34.1031379699707 33.55158996582031
53.11296081542969 55.87828063964844 51.194271087646484 53.03065490722656 53.37937545776367
30.873825073242188 33.042293548583984 30.05642318725586 31.875267028808594 30.536970138549805
32.4273796081543 35.69101333618164 31.656116485595703 32.63507843017578 33.17505645751953
28.486209869384766 33.800106048583984 29.880159378051758 29.936731338500977 28.567068099975586
38.1312255859375 43.22679138183594 38.91008758544922 40.94550323486328 41.28564453125
42.331695556640625 45.072296142578125 37.58640670776367 38.79420471191406 40.62648010253906
40.535987854003906 39.99831771850586 35.846988677978516 37.43474197387695 38.08229446411133
39.739479064941406 40.098846435546875 34.164466857910156 34.7976188659668 34.995635986328125
32.333709716796875 40.89530944824219 37.482177734375 38.49616241455078 36.86180114746094
33.19777297973633 31.34613800048828 27.756874084472656 28.201398849487305 30.137248992919922
39.68721008300781 49.36628723144531 45.9304313659668 48.60467529296875 48.129940032958984
29.201030731201172 29.44791030883789 24.34755516052246 24.47591781616211 26.5157527923584
42.88972473144531 45.99617004394531 42.504478454589844 42.426231384277344 40.778221130371094
43.66617202758789 41.836204528808594 33.54210662841797 35.40126037597656 36.9021110534668
30.923891067504883 34.14470291137695 31.200475692749023 31.911376953125 32.881675720214844
32.08592987060547 35.969505310058594 30.735671997070312 32.55036926269531 29.53099250793457
36.15331268310547 36.92922592163086 32.0328254699707 32.93387222290039 30.954971313476562
38.49258804321289 41.02837371826172 38.13074493408203 40.6030387878418 42.70780944824219
36.7127799987793 43.154083251953125 38.81126022338867 39.25421905517578 40.06547927856445
44.8748664855957 45.856483459472656 40.69761657714844 41.076866149902344 42.287689208984375
36.35528564453125 39.56963348388672 35.5496711730957 35.962162017822266 36.16915512084961
43.562591552734375 48.75923156738281 44.341861724853516 46.76755905151367 47.08934020996094
38.22058868408203 40.370697021484375 35.166969299316406 36.87385177612305 37.502742767333984
29.930871963500977 32.54710388183594 27.163915634155273 28.813777923583984 28.873397827148438
43.74834442138672 49.60075378417969 46.24937438964844 48.62509536743164 47.48678207397461
